"Payroll Details"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Employee","Pay Period","Pay Date","Hours","Gross Pay","Federal Withholding","Social Security Employee","Medicare Employee","GA Withholding","Net Pay","Social Security Employer","Medicare Employer","Federal Unemployment","GA SUI","Check No."
"Carlos Ramirez","07/02/2025 to 07/15/2025","07/20/2025","72.0","1,152.00","138.24","71.42","16.70","60.48","865.16","71.42","16.70","6.91","31.10","DD-4040"
"Carlos Ramirez","07/16/2025 to 07/29/2025","08/03/2025","71.5","1,144.00","137.28","70.93","16.59","60.06","859.14","70.93","16.59","6.86","30.89","DD-4041"
"Carlos Ramirez","07/30/2025 to 08/12/2025","08/17/2025","63.0","1,008.00","120.96","62.50","14.62","52.92","757.00","62.50","14.62","6.05","27.22","DD-4042"
"Carlos Ramirez","08/13/2025 to 08/26/2025","08/31/2025","79.0","1,264.00","151.68","78.37","18.33","66.36","949.26","78.37","18.33","7.58","34.13","DD-4043"
"Carlos Ramirez","08/27/2025 to 09/09/2025","09/14/2025","73.0","1,168.00","140.16","72.42","16.94","61.32","877.16","72.42","16.94","7.01","31.54","DD-4044"
"Carlos Ramirez","09/10/2025 to 09/23/2025","09/28/2025","81.5","1,304.00","156.48","80.85","18.91","68.46","979.30","80.85","18.91","7.82","35.21","DD-4045"
"Carlos Ramirez","09/24/2025 to 10/07/2025","10/12/2025","63.0","1,008.00","120.96","62.50","14.62","52.92","757.00","62.50","14.62","6.05","27.22","DD-4046"
"Carlos Ramirez","10/08/2025 to 10/21/2025","10/26/2025","65.0","1,040.00","124.80","64.48","15.08","54.60","781.04","64.48","15.08","6.24","28.08","DD-4047"
"Carlos Ramirez","10/22/2025 to 11/04/2025","11/09/2025","79.5","1,272.00","152.64","78.86","18.44","66.78","955.28","78.86","18.44","7.63","34.34","DD-4048"
"Carlos Ramirez","11/05/2025 to 11/18/2025","11/23/2025","89.0","1,424.00","170.88","88.29","20.65","74.76","1,069.42","88.29","20.65","8.54","38.45","DD-4049"
"Carlos Ramirez","11/19/2025 to 12/02/2025","12/07/2025","68.0","1,088.00","130.56","67.46","15.78","57.12","817.08","67.46","15.78","6.53","29.38","DD-4050"
"Carlos Ramirez","12/03/2025 to 12/16/2025","12/21/2025","60.5","968.00","116.16","60.02","14.04","50.82","726.96","60.02","14.04","5.81","26.14","DD-4051"
"Carlos Ramirez","12/17/2025 to 12/30/2025","01/04/2026","68.0","1,088.00","130.56","67.46","15.78","57.12","817.08","67.46","15.78","6.53","29.38","DD-4052"
"David Park","01/01/2025 to 01/14/2025","01/19/2025","82.0","1,640.00","196.80","101.68","23.78","86.10","1,231.64","101.68","23.78","9.84","44.28","DD-4053"
"David Park","01/15/2025 to 01/28/2025","02/02/2025","87.0","1,740.00","208.80","107.88","25.23","91.35","1,306.74","107.88","25.23","10.44","46.98","DD-4054"
"David Park","01/29/2025 to 02/11/2025","02/16/2025","68.5","1,370.00","164.40","84.94","19.86","71.92","1,028.88","84.94","19.86","8.22","36.99","DD-4055"
"David Park","02/12/2025 to 02/25/2025","03/02/2025","90.5","1,810.00","217.20","112.22","26.24","95.02","1,359.32","112.22","26.24","10.86","48.87","DD-4056"
"David Park","02/26/2025 to 03/11/2025","03/16/2025","62.5","1,250.00","150.00","77.50","18.12","65.62","938.76","77.50","18.12","7.50","33.75","DD-4057"
"David Park","03/12/2025 to 03/25/2025","03/30/2025","77.5","1,550.00","186.00","96.10","22.48","81.38","1,164.04","96.10","22.48","9.30","41.85","DD-4058"
"David Park","03/26/2025 to 04/08/2025","04/13/2025","62.5","1,250.00","150.00","77.50","18.12","65.62","938.76","77.50","18.12","7.50","33.75","DD-4059"
"David Park","04/09/2025 to 04/22/2025","04/27/2025","75.5","1,510.00","181.20","93.62","21.90","79.28","1,134.00","93.62","21.90","9.06","40.77","DD-4060"
"David Park","04/23/2025 to 05/06/2025","05/11/2025","72.5","1,450.00","174.00","89.90","21.02","76.12","1,088.96","89.90","21.02","8.70","39.15","DD-4061"
"David Park","05/07/2025 to 05/20/2025","05/25/2025","69.5","1,390.00","166.80","86.18","20.16","72.98","1,043.88","86.18","20.16","8.34","37.53","DD-4062"
"David Park","05/21/2025 to 06/03/2025","06/08/2025","62.5","1,250.00","150.00","77.50","18.12","65.62","938.76","77.50","18.12","7.50","33.75","DD-4063"
"David Park","06/04/2025 to 06/17/2025","06/22/2025","68.0","1,360.00","163.20","84.32","19.72","71.40","1,021.36","84.32","19.72","8.16","36.72","DD-4064"
"David Park","06/18/2025 to 07/01/2025","07/06/2025","90.0","1,800.00","216.00","111.60","26.10","94.50","1,351.80","111.60","26.10","10.80","48.60","DD-4065"
"David Park","07/02/2025 to 07/15/2025","07/20/2025","81.0","1,620.00","194.40","100.44","23.49","85.05","1,216.62","100.44","23.49","9.72","43.74","DD-4066"
"David Park","07/16/2025 to 07/29/2025","08/03/2025","62.5","1,250.00","150.00","77.50","18.12","65.62","938.76","77.50","18.12","7.50","33.75","DD-4067"
"David Park","07/30/2025 to 08/12/2025","08/17/2025","72.5","1,450.00","174.00","89.90","21.02","76.12","1,088.96","89.90","21.02","8.70","39.15","DD-4068"
"David Park","08/13/2025 to 08/26/2025","08/31/2025","89.5","1,790.00","214.80","110.98","25.96","93.98","1,344.28","110.98","25.96","10.74","48.33","DD-4069"
"David Park","08/27/2025 to 09/09/2025","09/14/2025","62.5","1,250.00","150.00","77.50","18.12","65.62","938.76","77.50","18.12","7.50","33.75","DD-4070"
"David Park","09/10/2025 to 09/23/2025","09/28/2025","88.0","1,760.00","211.20","109.12","25.52","92.40","1,321.76","109.12","25.52","10.56","47.52","DD-4071"
"David Park","09/24/2025 to 10/07/2025","10/12/2025","68.5","1,370.00","164.40","84.94","19.86","71.92","1,028.88","84.94","19.86","8.22","36.99","DD-4072"
"David Park","10/08/2025 to 10/21/2025","10/26/2025","67.0","1,340.00","160.80","83.08","19.43","70.35","1,006.34","83.08","19.43","8.04","36.18","DD-4073"
"David Park","10/22/2025 to 11/04/2025","11/09/2025","82.0","1,640.00","196.80","101.68","23.78","86.10","1,231.64","101.68","23.78","9.84","44.28","DD-4074"
"David Park","11/05/2025 to 11/18/2025","11/23/2025","77.5","1,550.00","186.00","96.10","22.48","81.38","1,164.04","96.10","22.48","9.30","41.85","DD-4075"
"David Park","11/19/2025 to 12/02/2025","12/07/2025","62.5","1,250.00","150.00","77.50","18.12","65.62","938.76","77.50","18.12","7.50","33.75","DD-4076"
"David Park","12/03/2025 to 12/16/2025","12/21/2025","87.5","1,750.00","210.00","108.50","25.38","91.88","1,314.24","108.50","25.38","10.50","47.25","DD-4077"
"David Park","12/17/2025 to 12/30/2025","01/04/2026","82.0","1,640.00","196.80","101.68","23.78","86.10","1,231.64","101.68","23.78","9.84","44.28","DD-4078"
"Tyler Brown","01/01/2025 to 01/14/2025","01/19/2025","90.5","1,402.75","168.33","86.97","20.34","73.64","1,053.47","86.97","20.34","8.42","37.87","DD-4079"
"Tyler Brown","01/15/2025 to 01/28/2025","02/02/2025","68.0","1,054.00","126.48","65.35","15.28","55.34","791.55","65.35","15.28","6.32","28.46","DD-4080"
"Tyler Brown","01/29/2025 to 02/11/2025","02/16/2025","67.5","1,046.25","125.55","64.87","15.17","54.93","785.73","64.87","15.17","6.28","28.25","DD-4081"
"Tyler Brown","02/12/2025 to 02/25/2025","03/02/2025","76.0","1,178.00","141.36","73.04","17.08","61.84","884.68","73.04","17.08","7.07","31.81","DD-4082"
"Tyler Brown","02/26/2025 to 03/11/2025","03/16/2025","70.5","1,092.75","131.13","67.75","15.84","57.37","820.66","67.75","15.84","6.56","29.50","DD-4083"
"Tyler Brown","03/12/2025 to 03/25/2025","03/30/2025","89.5","1,387.25","166.47","86.01","20.12","72.83","1,041.82","86.01","20.12","8.32","37.46","DD-4084"
"Tyler Brown","03/26/2025 to 04/08/2025","04/13/2025","64.0","992.00","119.04","61.50","14.38","52.08","745.00","61.50","14.38","5.95","26.78","DD-4085"
"Tyler Brown","04/09/2025 to 04/22/2025","04/27/2025","62.5","968.75","116.25","60.06","14.05","50.86","727.53","60.06","14.05","5.81","26.16","DD-4086"
"Tyler Brown","04/23/2025 to 05/06/2025","05/11/2025","90.5","1,402.75","168.33","86.97","20.34","73.64","1,053.47","86.97","20.34","8.42","37.87","DD-4087"
"Tyler Brown","05/07/2025 to 05/20/2025","05/25/2025","72.5","1,123.75","134.85","69.67","16.29","59.00","843.94","69.67","16.29","6.74","30.34","DD-4088"
"Tyler Brown","05/21/2025 to 06/03/2025","06/08/2025","67.0","1,038.50","124.62","64.39","15.06","54.52","779.91","64.39","15.06","6.23","28.04","DD-4089"
"Tyler Brown","06/04/2025 to 06/17/2025","06/22/2025","65.0","1,007.50","120.90","62.46","14.61","52.89","756.64","62.46","14.61","6.04","27.20","DD-4090"
"Tyler Brown","06/18/2025 to 07/01/2025","07/06/2025","83.0","1,286.50","154.38","79.76","18.65","67.54","966.17","79.76","18.65","7.72","34.74","DD-4091"
"Tyler Brown","07/02/2025 to 07/15/2025","07/20/2025","70.5","1,092.75","131.13","67.75","15.84","57.37","820.66","67.75","15.84","6.56","29.50","DD-4092"
"Tyler Brown","07/16/2025 to 07/29/2025","08/03/2025","60.0","930.00","111.60","57.66","13.48","48.82","698.44","57.66","13.48","5.58","25.11","DD-4093"
"Tyler Brown","07/30/2025 to 08/12/2025","08/17/2025","79.0","1,224.50","146.94","75.92","17.76","64.29","919.59","75.92","17.76","7.35","33.06","DD-4094"
"Tyler Brown","08/13/2025 to 08/26/2025","08/31/2025","65.0","1,007.50","120.90","62.46","14.61","52.89","756.64","62.46","14.61","6.04","27.20","DD-4095"
"Tyler Brown","08/27/2025 to 09/09/2025","09/14/2025","77.0","1,193.50","143.22","74.00","17.31","62.66","896.31","74.00","17.31","7.16","32.22","DD-4096"
"Tyler Brown","09/10/2025 to 09/23/2025","09/28/2025","62.0","961.00","115.32","59.58","13.93","50.45","721.72","59.58","13.93","5.77","25.95","DD-4097"
"Tyler Brown","09/24/2025 to 10/07/2025","10/12/2025","63.5","984.25","118.11","61.02","14.27","51.67","739.18","61.02","14.27","5.91","26.57","DD-4098"
"Tyler Brown","10/08/2025 to 10/21/2025","10/26/2025","77.0","1,193.50","143.22","74.00","17.31","62.66","896.31","74.00","17.31","7.16","32.22","DD-4099"
"Tyler Brown","10/22/2025 to 11/04/2025","11/09/2025","80.5","1,247.75","149.73","77.36","18.09","65.51","937.06","77.36","18.09","7.49","33.69","DD-4100"
"Tyler Brown","11/05/2025 to 11/18/2025","11/23/2025","72.0","1,116.00","133.92","69.19","16.18","58.59","838.12","69.19","16.18","6.70","30.13","DD-4101"
"Tyler Brown","11/19/2025 to 12/02/2025","12/07/2025","68.0","1,054.00","126.48","65.35","15.28","55.34","791.55","65.35","15.28","6.32","28.46","DD-4102"
"Tyler Brown","12/03/2025 to 12/16/2025","12/21/2025","81.0","1,255.50","150.66","77.84","18.20","65.91","942.89","77.84","18.20","7.53","33.90","DD-4103"
"Tyler Brown","12/17/2025 to 12/30/2025","01/04/2026","70.5","1,092.75","131.13","67.75","15.84","57.37","820.66","67.75","15.84","6.56","29.50","DD-4104"
"Jennifer Liu","01/01/2025 to 01/14/2025","01/19/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4105"
"Jennifer Liu","01/15/2025 to 01/28/2025","02/02/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4106"
"Jennifer Liu","01/29/2025 to 02/11/2025","02/16/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4107"
"Jennifer Liu","02/12/2025 to 02/25/2025","03/02/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4108"
"Jennifer Liu","02/26/2025 to 03/11/2025","03/16/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4109"
"Jennifer Liu","03/12/2025 to 03/25/2025","03/30/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4110"
"Jennifer Liu","03/26/2025 to 04/08/2025","04/13/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4111"
"Jennifer Liu","04/09/2025 to 04/22/2025","04/27/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4112"
"Jennifer Liu","04/23/2025 to 05/06/2025","05/11/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4113"
"Jennifer Liu","05/07/2025 to 05/20/2025","05/25/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4114"
"Jennifer Liu","05/21/2025 to 06/03/2025","06/08/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4115"
"Jennifer Liu","06/04/2025 to 06/17/2025","06/22/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4116"
"Jennifer Liu","06/18/2025 to 07/01/2025","07/06/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4117"
"Jennifer Liu","07/02/2025 to 07/15/2025","07/20/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4118"
"Jennifer Liu","07/16/2025 to 07/29/2025","08/03/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4119"
"Jennifer Liu","07/30/2025 to 08/12/2025","08/17/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4120"
"Jennifer Liu","08/13/2025 to 08/26/2025","08/31/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4121"
"Jennifer Liu","08/27/2025 to 09/09/2025","09/14/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4122"
"Jennifer Liu","09/10/2025 to 09/23/2025","09/28/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4123"
"Jennifer Liu","09/24/2025 to 10/07/2025","10/12/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4124"
"Jennifer Liu","10/08/2025 to 10/21/2025","10/26/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4125"
"Jennifer Liu","10/22/2025 to 11/04/2025","11/09/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4126"
"Jennifer Liu","11/05/2025 to 11/18/2025","11/23/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4127"
"Jennifer Liu","11/19/2025 to 12/02/2025","12/07/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4128"
"Jennifer Liu","12/03/2025 to 12/16/2025","12/21/2025","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4129"
"Jennifer Liu","12/17/2025 to 12/30/2025","01/04/2026","80.00","3,269.23","392.31","202.69","47.40","171.63","2,455.20","202.69","47.40","19.62","88.27","DD-4130"
"Michael Washington","01/01/2025 to 01/14/2025","01/19/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4131"
"Michael Washington","01/15/2025 to 01/28/2025","02/02/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4132"
"Michael Washington","01/29/2025 to 02/11/2025","02/16/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4133"
"Michael Washington","02/12/2025 to 02/25/2025","03/02/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4134"
"Michael Washington","02/26/2025 to 03/11/2025","03/16/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4135"
"Michael Washington","03/12/2025 to 03/25/2025","03/30/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4136"
"Michael Washington","03/26/2025 to 04/08/2025","04/13/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4137"
"Michael Washington","04/09/2025 to 04/22/2025","04/27/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4138"
"Michael Washington","04/23/2025 to 05/06/2025","05/11/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4139"
"Michael Washington","05/07/2025 to 05/20/2025","05/25/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4140"
"Michael Washington","05/21/2025 to 06/03/2025","06/08/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4141"
"Michael Washington","06/04/2025 to 06/17/2025","06/22/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4142"
"Michael Washington","06/18/2025 to 07/01/2025","07/06/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4143"
"Michael Washington","07/02/2025 to 07/15/2025","07/20/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4144"
"Michael Washington","07/16/2025 to 07/29/2025","08/03/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4145"
"Michael Washington","07/30/2025 to 08/12/2025","08/17/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4146"
"Michael Washington","08/13/2025 to 08/26/2025","08/31/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4147"
"Michael Washington","08/27/2025 to 09/09/2025","09/14/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4148"
"Michael Washington","09/10/2025 to 09/23/2025","09/28/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4149"
"Michael Washington","09/24/2025 to 10/07/2025","10/12/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4150"
"Michael Washington","10/08/2025 to 10/21/2025","10/26/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4151"
"Michael Washington","10/22/2025 to 11/04/2025","11/09/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4152"
"Michael Washington","11/05/2025 to 11/18/2025","11/23/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4153"
"Michael Washington","11/19/2025 to 12/02/2025","12/07/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4154"
"Michael Washington","12/03/2025 to 12/16/2025","12/21/2025","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4155"
"Michael Washington","12/17/2025 to 12/30/2025","01/04/2026","80.00","2,769.23","332.31","171.69","40.15","145.38","2,079.70","171.69","40.15","16.62","74.77","DD-4156"
"Aisha Patel","01/01/2025 to 01/14/2025","01/19/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4157"
"Aisha Patel","01/15/2025 to 01/28/2025","02/02/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4158"
"Aisha Patel","01/29/2025 to 02/11/2025","02/16/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4159"
"Aisha Patel","02/12/2025 to 02/25/2025","03/02/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4160"
